,text,sentiment
0,I love everything about my fire tv. I wish I wouldve gotten one sooner!,POSITIVE
1,"My 5 year old sons love it , Seems to be well made .",POSITIVE
2,"I've bought 2 of these tablets now for my kids, they're a great value for its low price. Great screen quality, everything you need in a tablet and good size. Very happy with them.",POSITIVE
3,Bought one for each of my kids and they love it. Functionally sound product very easy to use.,POSITIVE
4,"I picked this up on Black Friday when it was $30. It seemed like the parental controls would make it good for my kids. I'm not sold. While I can sideload the Google Play store, you can't access anything you download from the safety of the child's account. In addition, 8 GB is practically useless.",NEGATIVE
5,i mean if you want just a tablet to read some books and browse internet thats fine.,NEUTRAL
6,For the price you pay and to do basic functions this table is well worth the money.,POSITIVE
7,I love it. Use it daily for everything. Love the options and looks.,POSITIVE
8,"I bought this tablet for my daughter to watch movies on & play educational games. It takes some time getting used to Amazon's Apps, But so far so good! It gets 4 stars bc the Camara takes terrible pictures.",POSITIVE
9,My nephew always uses my sister's iphone when watching videos. He loves his youtube videos lol. So I went out and bought him this. The kid loves it. There's value in the cartoon membership also,POSITIVE
10,This is the best Fire they have come out with so far.,POSITIVE
11,I'm very accustomed to using verbal commands with my Samsung Galaxy... Same experience,NEUTRAL
12,Fast response time from unit. Works great. Easy to use. Enjoy watching the device.,POSITIVE
13,I bought the Amazon Fire TV to mod and stream media. It works fantastic and does exactly what I want including 4k video output. The primary reason I chose this item over the Fire stick was that I wanted wired ethernet and not wireless. Picture quality and sound is excellent.,POSITIVE
14,"The Fire tablet is great, especially for the price! And if you are an Amazon Prime member, it's even better. You can read books for free using Amazon's Lending Library and watch Prime videos for free too. You can even get Google Play Store and download apps (just Google it) on the Fire. Make sure you get a micro SD card right away, because the 8GB internal storage fills up very quickly.",POSITIVE
15,"I really liked the idea of having a device I could talk to out of nowhere that would answer (although our cells phones can do similarly, but you have to turn them on and press buttons, etc.). It is also gratifying to be able to tell a device to play music and it does. I was quite disappointed in the ability of Alexa to answer any serious questions. Jeff needs to pay to send his programmers back to search school. So many times Alexa says a phrase similar to I don't understand the question So basically I paid for a radio. I paid extra for the larger one, but the output is still no different than a clock radio. Come on Amazon!!!",NEGATIVE
16,I bought this tablet for my 10 yo granddaughter and she loves it.,POSITIVE
17,Awesome little machine...kids talk to it everyday five times a day!!,POSITIVE
18,Love product connects to my Nest thermostat and wink products without any problem,POSITIVE
19,"Found I am using the ""Fire""' more then my phone. Speed is fast.. Easy to navigate.",POSITIVE
20,Use every day. So easy to use. Perfect size. Will be great when traveling. Love it.,POSITIVE
21,"The product overall is great. I got it as a Christmas present for my mom and she loved it.The only problem I had was with ordering. I was unexpected put on backorder when a Best Buy employee had stated and showed me I would receive the product the Tuesday after Christmas. Fortunately, I found the product in another Best Buy store and canceled my back order of the product. Great product overall, but 4 stars from me because this was the first time Best Buy ever let me down like that so I hope it doesn't happen again.",MIXED
22,Bought this for all four of my children and they loved it.,POSITIVE
23,Just purchased the Amazon Fire 16GB model and so far it has performed as expected. Only drawback is the screen which is somewhat reflective of any light source and needs constant cleaning for smudges from normal use.,MIXED
24,Page turner. I would have given 5 stars. A little disappointed with the ending.,MIXED
25,"This is without a doubt the best Streaming Device on the market. Like the fire stick, I have also purchased many of these devices for friends and family (the ones i like more obviously because of the higher price), And I have had zero issues with any of them. These are capable of doing everything you want them to do just like the fire stick, but better and faster, and possibly in 4k if you have the content and technology to support it.",POSITIVE
26,"This is way to complicated for kids, my kid was frustrated trying to figure it out",NEGATIVE
27,It basically makes any old TV a smart tv. It is also 4K UHD. That is one of the biggest pluses on top of me having Amazon Prime already.,POSITIVE
28,Purchased this for my son for organization purposes which ended up becoming the family personal assistant. Love the apps and the capabilities this nifty gadget has.,POSITIVE
29,"Got this for a present for someone, and they love it. They really wanted an e reader not a tablet and that's why he loves it.",POSITIVE
30,"perfect for kids. reading, internet, Netflix, and games",POSITIVE
31,I tried a few Samsung tables they were junk and I paid 4 times the price for those. this out preformed them 10 fold and was 1/4 of the cost. Still not quite an iPad but for the price there is probably nothing better. Free time for the kids is a great feature.,MIXED
32,It does what it's supposed to do very minimal freezing second or two on occasion,POSITIVE
33,Still in the learning process--looking forward to more benefits!,POSITIVE
34,Ordering from Amazon is simpler than ever. Use this in any room for sound as well when you aren't making an order.,POSITIVE
35,"great fun and great tool. Electronics are sometimes confusing, but not Alexia.",MIXED
36,Works fine. Alittle pricy. Kindle without is not good.,MIXED
37,"My dear wife is a voracious reader and Paperwhite by Kindle is her reader of choice. She absolutely loves everything about it.We also recently became Prime members, and she is hoping there will be some great books to read at no additional charge!",POSITIVE
38,grandson really enjoyed it Christmas. very easy to use,POSITIVE
39,Easy to setup and use connects to Wi Fi and streams flawlessly. There are a lot of free channels to stream. Great product that can do so much. I highly recommend this product for the diehard that is into steaming TV from the internet.,POSITIVE
40,It's good for reading books. It's great for playing games. Yeah.,POSITIVE
41,"If you dont mind taking a few extra steps to download programs then its great. We got rid of cable and have amazon instead. Also love the voice command, just wish game controller wasn't so much the systym was 99 and the game controller is 50.",MIXED
42,I love this device. I won't have to worry about cable anymore.,POSITIVE
43,Best box. Really like it so far and having 4 k is nice,POSITIVE
44,"Best Buy and it's employees in the Granville, WV store made my Christmas. Thank you so much. I had ordered my product on line from Amazon and UPS lost my package. Never heard anything else from UPS when they said they would have the driver pick back up from where they dropped it wrong and bring it to me. Amazon did refund my money, but they were out of the product to reorder. Best Buy had my product and had it waiting for me when I got to the store. This was a Christmas present for my granddaughter . Thank you so much for having this is stock and getting it to me in less than one hour....Yay for best buy. I also bought a lap top a few months ago from the same store. Then today I bought a few other items. So happy with your products and especially your customer service.....",POSITIVE
45,"The Fire TV is great for Netflix, Hulu and Amazon Prime streaming! Fast OS, great remote and has Alexa integration.",POSITIVE
46,Great for beginners I like reading on the beach and I like to read in the shade that it works and it works great,POSITIVE
47,I am enjoying using the new and growing features of Alexa. I wish that it wouldn't suddenly turn on for no reason (even in a quiet room). It seems like it's monitoring me. Uncomfortable.,MIXED
48,I bought this for my son and one for my son-in-law. They are mesmerized by all that the Echo is capable of doing. (I want one!),POSITIVE
49,"I bought the Amazon Firebox so I could finally get rid of cable. when I think of all the $$ I will save on cable I may buy another one for 2nd tv. A bit challenging learning how to operate it, Once I do I know I will love it. Thanks Amazon",POSITIVE
50,Love the Echo!! Love that it's all voice command even the vloume!,POSITIVE
51,Returned it. it was a poor reader and clearly would not last..,NEGATIVE
